PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
42304944,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
42115643,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41953650,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41783032,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41709047,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41540350,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41505093,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41471221,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41427188,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41324579,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41110593,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
41096947,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40999340,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40978313,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40970908,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40822308,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40744862,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40728975,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40712016,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40608330,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40604579,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40512168,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40451100,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40379381,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40291443,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40288648,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40164610,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40131724,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40103208,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
40085692,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39969162,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39961277,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39928049,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39849191,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39638153,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39627698,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39622899,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39599833,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39528049,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39452701,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39413127,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39236024,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39230304,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39195267,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39128273,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39046245,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39028299,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38782261,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38648254,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38648056,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38422166,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38305775,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38156576,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38154497,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38034864,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
38012426,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37866271,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37857321,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37761933,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37699521,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
