PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
39195267,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37699521,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37379953,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
37375110,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
36823196,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
36325051,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
36171293,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35519003,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34426762,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34379503,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34110129,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33778258,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33478059,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33299990,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33144657,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33125669,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32763313,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32284326,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32135218,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30987343,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30550800,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30144461,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29872948,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29872540,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29358295,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32287476,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29021793,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28992614,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28902217,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28793923,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28464560,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
28152588,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
27736754,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26954078,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26887654,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26769540,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26752302,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26623561,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26343011,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26310823,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
26254359,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
25976987,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
25865894,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
25771336,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
39638153,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
39394962,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
39173055,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
39031917,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
39018747,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38814864,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38809037,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38782261,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38561780,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38385828,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38342126,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
38240994,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37987370,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37955182,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37896854,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37592354,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37562033,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37371569,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37290182,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37199624,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37108610,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
37021830,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36992484,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36982945,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36978183,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36902226,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36851768,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36733245,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36509265,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36411449,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36237518,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
36179320,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35955696,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35843206,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35804152,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35635944,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35609344,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35598779,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35534355,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35483643,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35320713,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35216019,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35182042,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35164550,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35111280,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34915414,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34889033,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34831169,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34709675,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34586867,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34583312,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34551346,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34452514,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34415722,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34391783,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34225493,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34126139,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33972249,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33593215,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33499042,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33479904,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33472860,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33433841,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33422611,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33352046,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
