PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35,Abstract
39195267,,,10.3390/cells13161381,2024,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Removal of RNA/DNA hybrids for the maturation of Okazaki fragments on the lagging strand, or due to misincorporation of ribonucleotides by DNA polymerases, is essential for all types of cells. In prokaryotic cells such as <i>Escherichia coli</i>, DNA polymerase 1 and RNase HI are supposed to remove RNA from Okazaki fragments, but many bacteria lack HI-type RNases, such as <i>Bacillus subtilis</i>. Previous work has demonstrated in vitro that four proteins are able to remove RNA from RNA/DNA hybrids, but their actual contribution to DNA replication is unclear. We have studied the dynamics of DNA polymerase A (similar to Pol 1), 5'->3' exonuclease ExoR, and the two endoribonucleases RNase HII and HIII in <i>B. subtilis</i> using single-molecule tracking. We found that all four enzymes show a localization pattern similar to that of replicative DNA helicase. By scoring the distance of tracks to replication forks, we found that all four enzymes are enriched at DNA replication centers. After inducing UV damage, RNase HIII was even more strongly recruited to the replication forks, and PolA showed a more static behavior, indicative of longer binding events, whereas RNase HII and ExoR showed no response. Inhibition of replication by 6(p hydroxyphenylazo)-uracil (HPUra) demonstrated that both RNase HII and RNase HIII are directly involved in the replication. We found that the absence of ExoR increases the likelihood of RNase HIII at the forks, indicating that substrate availability rather than direct protein interactions may be a major driver for the recruitment of RNases to the lagging strands. Thus, <i>B. subtilis</i> replication forks appear to be an intermediate between <i>E. coli</i> type and eukaryotic replication forks and employ a multitude of RNases, rather than any dedicated enzyme for RNA/DNA hybrid removal."
37699521,,,10.1038/s41586-023-06608-1,2023,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Non-segmented negative-strand RNA viruses, including Ebola virus (EBOV), rabies virus, human respiratory syncytial virus and pneumoviruses, can cause respiratory infections, haemorrhagic fever and encephalitis in humans and animals, and are considered a substantial health and economic burden worldwide<sup>1</sup>. Replication and transcription of the viral genome are executed by the large (L) polymerase, which is a promising target for the development of antiviral drugs. Here, using the L polymerase of EBOV as a representative, we show that de novo replication of L polymerase is controlled by the specific 3' leader sequence of the EBOV genome in an enzymatic assay, and that formation of at least three base pairs can effectively drive the elongation process of RNA synthesis independent of the specific RNA sequence. We present the high-resolution structures of the EBOV L-VP35-RNA complex and show that the 3' leader RNA binds in the template entry channel with a distinctive stable bend conformation. Using mutagenesis assays, we confirm that the bend conformation of the RNA is required for the de novo replication activity and reveal the key residues of the L protein that stabilize the RNA conformation. These findings provide a new mechanistic understanding of RNA synthesis for polymerases of non-segmented negative-strand RNA viruses, and reveal important targets for the development of antiviral drugs."
37379953,,,10.1016/j.ijbiomac.2023.125571,2023,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Ebola virus is notorious for causing severe and even deadly haemorrhagic fever in infected humans and non-human primates. The high fatality rate of Ebola virus disease (EVD) has highlighted the need for effective diagnosis and treatment. Two monoclonal antibodies (mAbs) have been approved by USFDA for treatment of EVD. Virus surface glycoprotein is the common target for diagnostic and therapy including vaccines. Even so, VP35, a viral RNA polymerase cofactor and interferon inhibitor could be a potential target to curb EVD. The present work describes the isolation of three mAb clones from a phage-displayed human naïve scFv library against recombinant VP35. The clones showed binding against rVP35 in vitro and inhibition of VP35 in luciferase reporter gene assay. Structural modelling analysis was also carried out to identify the binding interactions involved in the antibody-antigen interaction model. This allows some insight into the ""fitness"" of the binding pocket between the paratope and target epitope which would be useful for the design of new mAbs through in silico means in the future. In conclusion, the information obtained from the 3 isolated mAbs could be potentially useful in the quest to improve VP35 targeting for therapeutic development in the future."
37375110,,,10.3390/microorganisms11061608,2023,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Respiratory Syncytial Virus (RSV) is the top cause of infant hospitalization globally, with no effective treatments available. Researchers have sought small molecules to target the RNA-dependent RNA Polymerase (RdRP) of RSV, which is essential for replication and transcription. Based on the cryo-EM structure of the RSV polymerase, in silico computational analysis including molecular docking and the protein-ligand simulation of a database, including 6554 molecules, is currently undergoing phases 1-4 of clinical trials and has resulted in the top ten repurposed compound candidates against the RSV polymerase, including Micafungin, Totrombopag, and Verubecestat. We performed the same procedure to evaluate 18 small molecules from previous studies and chose the top four compounds for comparison. Among the top identified repurposed compounds, Micafungin, an antifungal medication, showed significant inhibition and binding affinity improvements over current inhibitors such as ALS-8112 and Ribavirin. We also validated Micafungin's inhibition of the RSV RdRP using an in vitro transcription assay. These findings contribute to RSV drug development and hold promise for broad-spectrum antivirals targeting the non-segmented negative-sense (NNS) RNA viral polymerases, including those of rabies (RABV) and Ebola (EBOV)."
36823196,,,10.1038/s41598-023-29517-9,2023,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Remdesivir (GS-5734; VEKLURY) is a single diastereomer monophosphoramidate prodrug of an adenosine analog (GS-441524). Remdesivir is taken up by target cells and metabolized in multiple steps to form the active nucleoside triphosphate (GS-443902), which acts as a potent inhibitor of viral RNA-dependent RNA polymerases. Remdesivir and GS-441524 have antiviral activity against multiple RNA viruses. Here, we expand the evaluation of remdesivir's antiviral activity to members of the families Flaviviridae, Picornaviridae, Filoviridae, Orthomyxoviridae, and Hepadnaviridae. Using cell-based assays, we show that remdesivir can inhibit infection of flaviviruses (such as dengue 1-4, West Nile, yellow fever, Zika viruses), picornaviruses (such as enterovirus and rhinovirus), and filoviruses (such as various Ebola, Marburg, and Sudan virus isolates, including novel geographic isolates), but is ineffective or is significantly less effective against orthomyxoviruses (influenza A and B viruses), or hepadnaviruses B, D, and E. In addition, remdesivir shows no antagonistic effect when combined with favipiravir, another broadly acting antiviral nucleoside analog, and has minimal interaction with a panel of concomitant medications. Our data further support remdesivir as a broad-spectrum antiviral agent that has the potential to address multiple unmet medical needs, including those related to antiviral pandemic preparedness."
36325051,,,10.1016/j.isci.2022.105354,2022,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Ebola virus (EBOV) and Marburg virus (MARV) are highly pathogenic viruses in humans, against which approved antivirals are lacking. During EBOV and MARV infection, coiled-coil mediated oligomerization is essential for the virion protein 35 (VP35) polymerase co-factor function and type I interferon antagonism, making VP35 coiled-coil an elective drug target. We established a tripartite split-green fluorescent protein (GFP) fluorescence complementation (FC) system based on recombinant GFP-tagged EBOV and MARV VP35, which probes VP35 coiled-coil assembly by monitoring fluorescence on <i>E. coli</i> colonies, or <i>in vitro</i> in 96/384-multiwell. Oligomerization-defective VP35 mutants showed that correct coiled-coil knobs-into-holes pairing within VP35 oligomer is pre-requisite for GFP tags and GFP detector to reconstitute fluorescing full-length GFP. The method was validated by screening a small compound library, which identified Myricetin and 4,5,6,7-Tetrabromobenzotriazole as inhibitors of EBOV and MARV VP35 oligomerization-dependent FC with low-micromolar IC<sub>50</sub> values. These findings substantiate the VP35 coiled-coil value as antiviral target."
36171293,,,10.1038/s41586-022-05271-2,2022,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Filoviruses, including Ebola virus, pose an increasing threat to the public health. Although two therapeutic monoclonal antibodies have been approved to treat the Ebola virus disease<sup>1,2</sup>, there are no approved broadly reactive drugs to control diverse filovirus infection. Filovirus has a large polymerase (L) protein and the cofactor viral protein 35 (VP35), which constitute the basic functional unit responsible for virus genome RNA synthesis<sup>3</sup>. Owing to its conservation, the L-VP35 polymerase complex is a promising target for broadly reactive antiviral drugs. Here we determined the structure of Ebola virus L protein in complex with tetrameric VP35 using cryo-electron microscopy (state 1). Structural analysis revealed that Ebola virus L possesses a filovirus-specific insertion element that is essential for RNA synthesis, and that VP35 interacts extensively with the N-terminal region of L by three protomers of the VP35 tetramer. Notably, we captured the complex structure in a second conformation with the unambiguous priming loop and supporting helix away from polymerase active site (state 2). Moreover, we demonstrated that the century-old drug suramin could inhibit the activity of the Ebola virus polymerase in an enzymatic assay. The structure of the L-VP35-suramin complex reveals that suramin can bind at the highly conserved NTP entry channel to prevent substrates from entering the active site. These findings reveal the mechanism of Ebola virus replication and may guide the development of more powerful anti-filovirus drugs."
35519003,,,10.1097/HS9.0000000000000708,2022,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Resistance to cytarabine is a key problem in the treatment of acute myeloid leukemia (AML). To understand the molecular biology of resistance to cytarabine, a viability-based chemosensitizer screen was utilized. We screened synthetic lethal targets using 437 different small interfering RNAs (siRNAs) directed against factors involved in DNA repair mechanisms and cytarabine as the chemical compound. Three hits were identified: <i>CUL4A</i>, <i>TP73</i>, and <i>RFC2</i>. We show here that the ubiquitin ligase CULLIN 4A (CUL4A) and the tumor-suppressive transcription factor p73 contribute to drug resistance by modulating DNA damage response. P73 confers resistance to cytarabine therapy by transactivation of <i>REV3L</i>, encoding the catalytic subunit of translesion DNA polymerase ζ, and <i>CUL4A</i> probably by influencing proliferating cell nuclear antigen (PCNA) and the polymerase switch towards error-prone translesion DNA polymerases. Abrogation of the polymerase ζ by siRNA causes identical effects as siRNAs against <i>CUL4A</i> or <i>TP73</i> and resensitizes cells towards cytarabine therapy in vitro. As CUL4A needs to be activated by neddylation to facilitate the degradation of several proteins including PCNA, we propose a novel explanation for the synergism between cytarabine and the neddylation inhibitor pevonedistat by inhibition of translesion synthesis. In keeping with this, in AML patients treated with cytarabine, we found high expression of <i>CUL4A</i> and <i>TP73</i> to be associated with poor prognosis."
34426762,,,10.1016/j.csbj.2021.08.029,2021,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Safer and more-effective drugs are urgently needed to counter infections with the highly pathogenic SARS-CoV-2, cause of the COVID-19 pandemic. Identification of efficient inhibitors to treat and prevent SARS-CoV-2 infection is a predominant focus. Encouragingly, using X-ray crystal structures of therapeutically relevant drug targets (PL<sup>pro</sup>, M<sup>pro</sup>, RdRp, and S glycoprotein) offers a valuable direction for anti-SARS-CoV-2 drug discovery and lead optimization through direct visualization of interactions. Computational analyses based primarily on MMPBSA calculations have also been proposed for assessing the binding stability of biomolecular structures involving the ligand and receptor. In this study, we focused on state-of-the-art X-ray co-crystal structures of the abovementioned targets complexed with newly identified small-molecule inhibitors (natural products, FDA-approved drugs, candidate drugs, and their analogues) with the assistance of computational analyses to support the precision design and screening of anti-SARS-CoV-2 drugs."
34379503,,,10.1128/JVI.00643-21,2021,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Members of the genus <i>Ebolavirus</i> cause lethal disease in humans, with <i>Zaire ebolavirus</i> (EBOV) being the most pathogenic (up to 90% morality) and <i>Bundibugyo</i> ebolavirus (BDBV) the least pathogenic (∼37% mortality). Historically, there has been a lack of research on BDBV, and there is no means to study BDBV outside of a high-containment laboratory. Here, we describe a minigenome replication system to study BDBV transcription and compare the efficacy of small-molecule inhibitors between EBOV and BDBV. Using this system, we examined the ability of the polymerase complex proteins from EBOV and BDBV to interact and form a functional unit as well as the impact of the genomic untranslated ends, known to contain important signals for transcription (3'-untranslated region) and replication (5'-untranslated region). Various levels of compatibility were observed between proteins of the polymerase complex from each ebolavirus, resulting in differences in genome transcription efficiency. Most pronounced was the effect of the nucleoprotein and the 3'-untranslated region. These data suggest that there are intrinsic specificities in the polymerase complex and untranslated signaling regions that could offer insight regarding observed pathogenic differences. Further adding to the differences in the polymerase complexes, posttransfection/infection treatment with the compound remdesivir (GS-5734) showed a greater inhibitory effect against BDBV than EBOV. The delayed growth kinetics of BDBV and the greater susceptibility to polymerase inhibitors indicate that disruption of the polymerase complex is a viable target for therapeutics. <b>IMPORTANCE</b> Ebolavirus disease is a viral infection and is fatal in 25 to 90% of cases, depending on the viral species and the amount of supportive care available. Two species have caused outbreaks in the Democratic Republic of the Congo, <i>Zaire ebolavirus</i> (EBOV) and <i>Bundibugyo ebolavirus</i> (BDBV). Pathogenesis and clinical outcome differ between these two species, but there is still limited information regarding the viral mechanism for these differences. Previous studies suggested that BDBV replicates slower than EBOV, but it is unknown if this is due to differences in the polymerase complex and its role in transcription and replication. This study details the construction of a minigenome replication system that can be used in a biosafety level 2 laboratory. This system will be important for studying the polymerase complex of BDBV and comparing it with other filoviruses and can be used as a tool for screening inhibitors of viral growth."
34110129,,,10.1021/acs.biochem.1c00292,2021,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,,"Remdesivir is an antiviral drug initially designed against the <i>Ebola</i> virus. The results obtained with it both in biochemical studies <i>in vitro</i> and in cell line assays <i>in vivo</i> were very promising, but it proved to be ineffective in clinical trials. Remdesivir exhibited far better efficacy when repurposed against SARS-CoV-2. The chemistry that accounts for this difference is the subject of this study. Here, we examine the hypothesis that remdesivir monophosphate (RMP)-containing RNA functions as a template at the polymerase site for the second run of RNA synthesis, and as mRNA at the decoding center for protein synthesis. Our hypothesis is supported by the observation that RMP can be incorporated into RNA by the RNA-dependent RNA polymerases (RdRps) of both viruses, although some of the incorporated RMPs are subsequently removed by exoribonucleases. Furthermore, our hypothesis is consistent with the fact that RdRp of SARS-CoV-2 selects RMP for incorporation over AMP by 3-fold <i>in vitro</i>, and that RMP-added RNA can be rapidly extended, even though primer extension is often paused when the added RMP is translocated at the <i>i</i> + 3 position (with <i>i</i> the nascent base pair at an initial insertion site of RMP) or when the concentrations of the subsequent nucleoside triphosphates (NTPs) are below their physiological concentrations. These observations have led to the hypothesis that remdesivir might be a delayed chain terminator. However, that hypothesis is challenged under physiological concentrations of NTPs by the observation that approximately three-quarters of RNA products efficiently overrun the pause."
